danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,3a1lNhkSLSkpJE4MSHpDu9,220293,4
0.823,0.836,0,-2.566,1,0.0629,0.279,0.0,0.776,0.682,120.021,09Q3su74ehVmR87tA3msB9,197767,4
0.704,0.766,0,-6.526,1,0.0262,0.239,0.0,0.0728,0.638,130.029,1sgq9fB1ygd0irGMESn5SN,253190,4
0.873,0.538,10,-7.928,0,0.315,0.0817,1.02e-06,0.117,0.753,139.937,56x9iQJrp886WoTajkX2uw,219500,4
0.79,0.502,10,-5.512,0,0.0333,0.577,4.4e-05,0.329,0.515,127.465,2Qu80FRL83tdFP6Bnvh1gI,267244,4
0.827,0.546,1,-9.086,0,0.0763,0.146,0.00473,0.163,0.526,101.965,5CR8jioIWEB0yaS4Ap2mz5,198032,4
0.77,0.822,5,-4.531,1,0.0494,0.296,0.0,0.114,0.911,120.013,7My6DpBn10lju6q7bZ6hHL,221750,4
0.763,0.874,0,-5.792,0,0.0564,0.27,0.0,0.159,0.755,131.038,26gEW3DUEK0n8n5fvnYrPE,194773,4
0.484,0.689,9,-9.174,0,0.0568,0.504,0.285,0.103,0.516,81.891,5xOAQ5o5mPI2FZZEOu1NZL,229600,4
0.673,0.79,7,-6.989,0,0.0417,0.0305,0.0,0.147,0.514,117.992,0twbASvGKPDvbWviKZcpyy,256720,4
0.578,0.607,9,-6.191,0,0.0357,0.629,0.0,0.135,0.619,149.946,7un00KtMiTADv6ZA3CBFAd,255000,4
0.818,0.49,6,-7.459,1,0.274,0.094,0.00499,0.129,0.61,158.027,6X8HX33uK8ZVRXjdlQ4wCV,178940,4
0.699,0.82,0,-4.512,1,0.0678,0.0658,0.0,0.204,0.651,157.931,2UpJ2KnTvBhxLxJ5t9P4WR,215886,4
